month,revenue_target,retention_target,active_customer_target
2024-01,2003366,90,3820
2024-02,1985267,93,3113
2024-03,1993217,91,3437
2024-04,2447689,91,4175
2024-05,2404402,90,3362
2024-06,1669561,89,3977
2024-07,2480195,93,4886
2024-08,2442614,91,3097
2024-09,2002862,92,3647
2024-10,1681360,90,4353
2024-11,2414189,93,3567
2024-12,2379160,94,3151
2025-01,1844289,93,4280
2025-02,2209498,88,3710
2025-03,1587412,94,3616
2025-04,1837751,90,4842
2025-05,1800320,94,4944
2025-06,1538841,92,3536
2025-07,1579828,94,3576
2025-08,1952769,90,4374
2025-09,1661284,90,3863
2025-10,1573688,89,3013
2025-11,1984320,92,4330
2025-12,2183734,92,3380
